_real_time,_totl_time,missn_time,timer_time,_zulu_time,local_time,hobbs_time,__mag_comp,mavar__deg,__lat__deg,__lon__deg,__altftmsl,__altftagl,___onrunwy,__alt__ind,__latorign,__lonorign,NAV_1,_freqNAV_1,_stbyNAV_1,_typeNAV_2,_freqNAV_2,_stbyNAV_2,_typeNAV_1,n-typNAV_1,to-frNAV_1,m-crsNAV_1,r-brgNAV_1,dme-dNAV_1,h-defNAV_1,v-defNAV_2,n-typNAV_2,to-frNAV_2,m-crsNAV_2,r-brgNAV_2,dme-dNAV_2,h-defNAV_2,v-defADF_1,_freqADF_1,_cardADF_1,r-brgADF_1,n-typADF_2,_freqADF_2,_cardADF_2,r-brgADF_2,n-typ__DME,nav01__DME,_mode__DME,found__DME,_dist__DME,speed__DME,_time__DME,n-typDME-3_freq,
195.60974,0.04532,0.04532,0.00000,13.15504,14.15504,2.27559,167.02266,-1.73001,47.44106,5.07231,2780.04980,1699.41357,0.00000,2567.47534,47.50000,5.00000,11145.00000,11300.00000,0.00000,11735.00000,11710.00000,0.00000,0.00000,0.00000,358.15076,18.17940,0.00000,2.07362,0.00813,0.00000,0.00000,358.15076,89.66282,0.00000,0.00813,0.00813,309.00000,0.00000,88.31408,0.00000,210.00000,0.00000,89.66282,0.00000,0.00000,2.00000,0.00000,0.00000,0.00000,0.00000,0.00000,10940.00000,
197.74753,1.07940,1.07940,0.00000,13.15533,14.15533,2.27588,170.64934,-1.73003,47.44068,5.07236,2749.35815,1673.35046,0.00000,2089.44067,47.50000,5.00000,11145.00000,11300.00000,3.00000,11735.00000,11710.00000,0.00000,3.00000,1.00000,100.89817,159.95053,10.27061,-2.40430,0.00012,0.00000,0.00000,332.66830,89.88047,0.00000,0.00012,0.00012,309.00000,0.00000,89.40225,0.00000,210.00000,0.00000,89.88047,0.00000,0.00000,2.00000,1.00000,10.27061,107.29450,3.32754,3.00000,10940.00000,
286.41754,1.77800,0.27542,0.00000,13.15552,14.15552,2.27607,41.25886,-1.72994,47.44231,5.07214,2847.25073,1761.41150,0.00000,308.36279,47.50000,5.00000,11145.00000,11300.00000,3.00000,11735.00000,11710.00000,0.00000,3.00000,1.00000,137.36758,-125.05594,10.36294,-2.49430,0.00001,0.00000,0.00000,325.49005,89.94065,0.00000,0.00001,0.00001,309.00000,0.00000,89.70321,0.00000,210.00000,0.00000,89.94065,0.00000,0.00000,2.00000,1.00000,10.36294,543.67200,1.23951,3.00000,10940.00000,
305.52402,2.20157,0.69898,0.00000,13.15564,14.15564,2.27619,86.92851,-1.72995,47.44218,5.07216,2844.79199,1758.97632,0.00000,1170.71265,47.50000,5.00000,11145.00000,11300.00000,3.00000,11735.00000,11710.00000,0.00000,3.00000,1.00000,149.80692,-91.81086,10.36183,-2.49897,0.00000,0.00000,0.00000,322.92249,89.96117,0.00000,0.00000,0.00000,309.00000,0.00000,89.80588,0.00000,210.00000,0.00000,89.96117,0.00000,0.00000,2.00000,1.00000,10.36183,62.02267,9.00554,3.00000,10940.00000,
306.51996,3.19749,1.69491,0.00000,13.15591,14.15591,2.27647,141.33495,-1.72996,47.44187,5.07220,2834.27808,1748.51868,0.00000,2428.72095,47.50000,5.00000,11145.00000,11300.00000,3.00000,11735.00000,11710.00000,0.00000,3.00000,1.00000,164.66214,-42.45203,10.34335,-0.62067,0.00000,0.00000,0.00000,319.92184,89.98571,0.00000,0.00000,0.00000,309.00000,0.00000,89.92850,0.00000,210.00000,0.00000,89.98571,0.00000,0.00000,2.00000,1.00000,10.34335,68.03706,9.16419,3.00000,10940.00000,
307.52444,4.20200,2.69941,0.00000,13.15619,14.15619,2.27674,161.05887,-1.72998,47.44154,5.07224,2817.01538,1731.59204,0.00000,2752.23877,47.50000,5.00000,11145.00000,11300.00000,3.00000,11735.00000,11710.00000,0.00000,3.00000,1.00000,170.16119,-18.48010,10.32370,1.13580,0.00000,0.00000,0.00000,318.89862,89.99479,0.00000,0.00000,0.00000,309.00000,0.00000,89.97388,0.00000,210.00000,0.00000,89.99479,0.00000,0.00000,2.00000,1.00000,10.32370,72.26368,8.62558,3.00000,10940.00000,
308.52795,5.20548,3.70290,0.00000,13.15647,14.15647,2.27702,167.86313,-1.73000,47.44119,5.07229,2795.16479,1712.84448,0.00000,2801.53809,47.50000,5.00000,11145.00000,11300.00000,3.00000,11735.00000,11710.00000,0.00000,3.00000,1.00000,172.16820,-7.47623,10.30269,1.80030,0.00000,0.00000,0.00000,318.61725,89.99802,0.00000,0.00000,0.00000,309.00000,0.00000,89.99045,0.00000,210.00000,0.00000,89.99802,0.00000,0.00000,2.00000,1.00000,10.30269,77.39874,8.03091,3.00000,10940.00000,
309.52081,6.19836,4.69578,0.00000,13.15675,14.15675,2.27730,170.07492,-1.73002,47.44083,5.07234,2771.46680,1693.70837,0.00000,2792.14624,47.50000,5.00000,11145.00000,11300.00000,3.00000,11735.00000,11710.00000,0.00000,3.00000,1.00000,172.89751,-2.55663,10.28046,2.04228,0.00000,0.00000,0.00000,318.61093,89.99923,0.00000,0.00000,0.00000,309.00000,0.00000,89.99641,0.00000,210.00000,0.00000,89.99923,0.00000,0.00000,2.00000,1.00000,10.28046,82.58544,7.51435,3.00000,10940.00000,
310.51846,7.19600,5.69342,0.00000,13.15703,14.15703,2.27758,170.75404,-1.73005,47.44043,5.07240,2748.11865,1675.24243,0.00000,2770.94019,47.50000,5.00000,11145.00000,11300.00000,3.00000,11735.00000,11710.00000,0.00000,3.00000,1.00000,173.16788,-0.31493,10.25674,2.13191,0.00000,0.00000,0.00000,318.70923,89.99928,0.00000,0.00000,0.00000,309.00000,0.00000,89.99870,0.00000,210.00000,0.00000,89.99928,0.00000,0.00000,2.00000,1.00000,10.25674,87.52880,7.06855,3.00000,10940.00000,
311.51477,8.19231,6.68973,0.00000,13.15730,14.15730,2.27785,170.76645,-1.73007,47.44002,5.07247,2727.83813,1660.11255,0.00000,2748.58813,47.50000,5.00000,11145.00000,11300.00000,3.00000,11735.00000,11710.00000,0.00000,3.00000,1.00000,173.26775,0.74981,10.23179,2.16497,0.00000,0.00000,0.00000,318.85046,89.99928,0.00000,0.00000,0.00000,309.00000,0.00000,89.99923,0.00000,210.00000,0.00000,89.99928,0.00000,0.00000,2.00000,1.00000,10.23179,91.82269,6.71404,3.00000,10940.00000,
